protein1,protein2,combined_score
9606.ENSP00000315190,9606.ENSP00000324101,1
9606.ENSP00000254286,9606.ENSP00000160827,1
9606.ENSP00000389103,9606.ENSP00000338862,1
9606.ENSP00000085219,9606.ENSP00000259633,1
9606.ENSP00000216367,9606.ENSP00000420176,1
9606.ENSP00000299300,9606.ENSP00000472985,1
9606.ENSP00000357360,9606.ENSP00000345445,1
9606.ENSP00000274400,9606.ENSP00000489236,1
9606.ENSP00000407613,9606.ENSP00000264670,1
9606.ENSP00000242351,9606.ENSP00000250416,1
9606.ENSP00000283109,9606.ENSP00000426909,1
9606.ENSP00000499459,9606.ENSP00000244174,1
9606.ENSP00000430684,9606.ENSP00000498071,1
9606.ENSP00000331487,9606.ENSP00000350708,1
9606.ENSP00000361359,9606.ENSP00000485129,1
9606.ENSP00000473631,9606.ENSP00000442920,1
9606.ENSP00000279281,9606.ENSP00000416696,1
9606.ENSP00000005340,9606.ENSP00000337439,1
9606.ENSP00000222005,9606.ENSP00000345793,1
9606.ENSP00000493728,9606.ENSP00000388731,1
9606.ENSP00000261304,9606.ENSP00000216484,1
9606.ENSP00000367668,9606.ENSP00000347032,1
9606.ENSP00000484644,9606.ENSP00000226299,1
9606.ENSP00000216489,9606.ENSP00000417402,1
9606.ENSP00000221992,9606.ENSP00000495951,1
9606.ENSP00000375622,9606.ENSP00000244709,1
9606.ENSP00000263073,9606.ENSP00000286307,1
9606.ENSP00000344819,9606.ENSP00000365844,1
9606.ENSP00000360252,9606.ENSP00000479322,1
9606.ENSP00000341268,9606.ENSP00000358983,1
9606.ENSP00000314132,9606.ENSP00000499058,1
9606.ENSP00000376808,9606.ENSP00000229335,1
9606.ENSP00000298282,9606.ENSP00000398273,1
9606.ENSP00000421842,9606.ENSP00000477760,1
9606.ENSP00000434552,9606.ENSP00000498587,1
9606.ENSP00000326018,9606.ENSP00000482552,1
9606.ENSP00000355206,9606.ENSP00000478220,1
9606.ENSP00000280358,9606.ENSP00000489236,1
9606.ENSP00000328992,9606.ENSP00000337194,1
9606.ENSP00000477829,9606.ENSP00000359212,1
9606.ENSP00000491227,9606.ENSP00000245816,1
9606.ENSP00000305422,9606.ENSP00000255764,1
9606.ENSP00000326603,9606.ENSP00000239690,1
9606.ENSP00000229769,9606.ENSP00000313603,1
9606.ENSP00000258301,9606.ENSP00000357494,1
9606.ENSP00000337443,9606.ENSP00000304643,1
9606.ENSP00000274031,9606.ENSP00000385852,1
9606.ENSP00000417190,9606.ENSP00000263578,1
9606.ENSP00000318128,9606.ENSP00000349437,1
9606.ENSP00000229595,9606.ENSP00000383949,1
9606.ENSP00000303830,9606.ENSP00000307272,1
9606.ENSP00000404122,9606.ENSP00000351777,1
9606.ENSP00000478877,9606.ENSP00000417748,1
9606.ENSP00000354091,9606.ENSP00000351380,1
9606.ENSP00000285667,9606.ENSP00000317334,1
9606.ENSP00000432768,9606.ENSP00000326550,1
9606.ENSP00000368797,9606.ENSP00000280098,1
9606.ENSP00000370808,9606.ENSP00000370588,1
9606.ENSP00000369465,9606.ENSP00000495556,1
9606.ENSP00000397157,9606.ENSP00000326119,1
9606.ENSP00000245206,9606.ENSP00000380432,1
9606.ENSP00000261881,9606.ENSP00000322180,1
9606.ENSP00000470252,9606.ENSP00000295321,1
9606.ENSP00000294728,9606.ENSP00000433277,1
9606.ENSP00000247026,9606.ENSP00000330349,1
9606.ENSP00000413436,9606.ENSP00000495273,1
9606.ENSP00000333667,9606.ENSP00000370737,1
9606.ENSP00000318128,9606.ENSP00000342331,1
9606.ENSP00000384952,9606.ENSP00000258455,1
9606.ENSP00000406012,9606.ENSP00000306105,1
9606.ENSP00000364731,9606.ENSP00000364902,1
9606.ENSP00000378856,9606.ENSP00000497102,1
9606.ENSP00000259469,9606.ENSP00000229379,1
9606.ENSP00000369131,9606.ENSP00000359518,1
9606.ENSP00000278888,9606.ENSP00000356713,1
9606.ENSP00000348554,9606.ENSP00000270586,1
9606.ENSP00000311697,9606.ENSP00000372170,1
9606.ENSP00000325612,9606.ENSP00000427514,1
9606.ENSP00000216446,9606.ENSP00000451506,1
9606.ENSP00000386207,9606.ENSP00000342109,1
9606.ENSP00000334122,9606.ENSP00000501150,1
9606.ENSP00000346001,9606.ENSP00000261313,1
9606.ENSP00000359392,9606.ENSP00000262584,1
9606.ENSP00000273962,9606.ENSP00000365837,1
9606.ENSP00000295900,9606.ENSP00000356848,1
9606.ENSP00000497641,9606.ENSP00000296215,1
9606.ENSP00000356991,9606.ENSP00000252483,1
9606.ENSP00000489236,9606.ENSP00000204726,1
9606.ENSP00000265602,9606.ENSP00000261588,1
9606.ENSP00000256497,9606.ENSP00000304051,1
9606.ENSP00000247191,9606.ENSP00000269214,1
9606.ENSP00000443631,9606.ENSP00000256857,1
9606.ENSP00000384302,9606.ENSP00000377944,1
9606.ENSP00000499935,9606.ENSP00000286063,1
9606.ENSP00000353512,9606.ENSP00000357459,1
9606.ENSP00000330391,9606.ENSP00000393417,1
9606.ENSP00000479166,9606.ENSP00000222726,1
9606.ENSP00000269383,9606.ENSP00000295756,1
9606.ENSP00000306902,9606.ENSP00000346001,1
9606.ENSP00000368538,9606.ENSP00000324890,1
9606.ENSP00000497915,9606.ENSP00000296513,1
9606.ENSP00000311430,9606.ENSP00000417763,1
9606.ENSP00000273480,9606.ENSP00000277458,1
9606.ENSP00000226574,9606.ENSP00000390436,1
9606.ENSP00000252229,9606.ENSP00000332049,1
9606.ENSP00000352408,9606.ENSP00000262265,1
9606.ENSP00000497102,9606.ENSP00000291232,1
9606.ENSP00000242819,9606.ENSP00000380690,1
9606.ENSP00000275230,9606.ENSP00000380432,1
9606.ENSP00000334003,9606.ENSP00000468376,1
9606.ENSP00000009530,9606.ENSP00000261708,1
9606.ENSP00000315988,9606.ENSP00000312774,1
9606.ENSP00000361982,9606.ENSP00000400646,1
9606.ENSP00000364404,9606.ENSP00000384408,1
9606.ENSP00000370421,9606.ENSP00000430432,1
9606.ENSP00000445002,9606.ENSP00000300055,1
9606.ENSP00000226021,9606.ENSP00000352011,1
9606.ENSP00000291565,9606.ENSP00000443965,1
9606.ENSP00000432119,9606.ENSP00000264279,1
9606.ENSP00000425915,9606.ENSP00000472985,1
9606.ENSP00000355114,9606.ENSP00000266087,1
9606.ENSP00000339328,9606.ENSP00000380605,1
9606.ENSP00000315357,9606.ENSP00000288266,1
9606.ENSP00000263341,9606.ENSP00000312002,1
9606.ENSP00000354884,9606.ENSP00000380713,1
9606.ENSP00000363081,9606.ENSP00000275525,1
9606.ENSP00000247970,9606.ENSP00000353670,1
9606.ENSP00000358335,9606.ENSP00000306245,1
9606.ENSP00000499900,9606.ENSP00000296545,1
9606.ENSP00000230640,9606.ENSP00000384421,1
9606.ENSP00000280358,9606.ENSP00000283547,1
9606.ENSP00000286428,9606.ENSP00000393388,1
9606.ENSP00000354091,9606.ENSP00000346120,1
9606.ENSP00000478557,9606.ENSP00000258654,1
9606.ENSP00000351141,9606.ENSP00000369857,1
9606.ENSP00000416269,9606.ENSP00000360988,1
9606.ENSP00000421926,9606.ENSP00000418082,1
9606.ENSP00000268717,9606.ENSP00000350708,1
9606.ENSP00000379888,9606.ENSP00000350698,1
9606.ENSP00000401946,9606.ENSP00000359095,1
9606.ENSP00000274458,9606.ENSP00000263401,1
9606.ENSP00000476100,9606.ENSP00000489236,1
9606.ENSP00000476386,9606.ENSP00000378284,1
9606.ENSP00000359680,9606.ENSP00000303077,1
9606.ENSP00000387246,9606.ENSP00000354621,1
9606.ENSP00000303584,9606.ENSP00000489236,1
9606.ENSP00000349437,9606.ENSP00000362656,1
9606.ENSP00000297347,9606.ENSP00000263377,1
9606.ENSP00000275820,9606.ENSP00000307461,1
9606.ENSP00000360473,9606.ENSP00000223324,1
9606.ENSP00000359206,9606.ENSP00000379258,1
9606.ENSP00000360483,9606.ENSP00000359988,1
9606.ENSP00000373474,9606.ENSP00000324124,1
9606.ENSP00000383115,9606.ENSP00000398736,1
9606.ENSP00000401470,9606.ENSP00000418082,1
9606.ENSP00000263341,9606.ENSP00000355890,1
9606.ENSP00000342307,9606.ENSP00000319417,1
9606.ENSP00000327513,9606.ENSP00000263087,1
9606.ENSP00000407509,9606.ENSP00000312286,1
9606.ENSP00000364398,9606.ENSP00000302886,1
9606.ENSP00000341550,9606.ENSP00000417161,1
9606.ENSP00000328023,9606.ENSP00000265195,1
9606.ENSP00000373783,9606.ENSP00000297848,1
9606.ENSP00000417559,9606.ENSP00000354525,1
9606.ENSP00000209728,9606.ENSP00000401018,1
9606.ENSP00000296498,9606.ENSP00000373472,1
9606.ENSP00000360268,9606.ENSP00000497744,1
9606.ENSP00000228837,9606.ENSP00000262039,1
9606.ENSP00000296102,9606.ENSP00000332407,1
9606.ENSP00000353735,9606.ENSP00000426503,1
